price,latitude,longitude,homeStatus,zestimate,rentZestimate,detailUrl,address
178000.0,30.15635,-94.18834,FOR_SALE,179200,1548,/homedetails/7340-Pleasant-Bend-Dr-Beaumont-TX-77708/50365038_zpid/,"7340 Pleasant Bend Dr, Beaumont, TX 77708"
745000.0,33.069355,-97.06338,FOR_SALE,748700,4119,/homedetails/2213-Waterford-Dr-Flower-Mound-TX-75028/27301367_zpid/,"2213 Waterford Dr, Flower Mound, TX 75028"
345000.0,30.51088,-97.733025,FOR_SALE,346600,2400,/homedetails/402-Arrow-Head-Round-Rock-TX-78681/29551740_zpid/,"402 Arrow Head, Round Rock, TX 78681"
260000.0,29.43111,-98.670586,FOR_SALE,260100,1634,/homedetails/9419-Quicksilver-Dr-San-Antonio-TX-78245/26366509_zpid/,"9419 QUICKSILVER DR, San Antonio, TX 78245"
329000.0,29.390453,-98.46359,FOR_SALE,327000,1800,/homedetails/2215-Saint-Anthony-Ave-San-Antonio-TX-78210/26212404_zpid/,"2215 SAINT ANTHONY AVE, San Antonio, TX 78210"
270000.0,29.562464,-98.32195,FOR_SALE,270400,1669,/homedetails/13603-Oak-Breeze-Universal-City-TX-78148/26173513_zpid/,"13603 OAK BREEZE, Universal City, TX 78148"
214900.0,32.437946,-99.77598,FOR_SALE,213800,1566,/homedetails/4074-Fairmount-St-Abilene-TX-79605/53343643_zpid/,"4074 Fairmount St, Abilene, TX 79605"
720000.0,33.084515,-97.21527,FOR_SALE,720800,2850,/homedetails/7009-Broomsedge-Dr-Argyle-TX-76226/249588603_zpid/,"7009 Broomsedge Dr, Argyle, TX 76226"
375000.0,32.877,-97.20594,FOR_SALE,378500,2323,/homedetails/7020-Cook-Cir-North-Richland-Hills-TX-76182/29238831_zpid/,"7020 Cook Cir, North Richland Hills, TX 76182"
300000.0,30.019688,-95.31509,FOR_SALE,299800,2285,/homedetails/7250-Foxshadows-Ln-Humble-TX-77338/62594815_zpid/,"7250 Foxshadows Ln, Humble, TX 77338"
275000.0,29.42294,-98.70644,FOR_SALE,270900,1698,/homedetails/907-Stable-Glen-Dr-San-Antonio-TX-78245/89613940_zpid/,"907 Stable Glen Dr, San Antonio, TX 78245"
235000.0,32.020977,-97.11967,FOR_SALE,233600,1564,/homedetails/120-Trinity-St-Hillsboro-TX-76645/87335083_zpid/,"120 Trinity St, Hillsboro, TX 76645"
265000.0,30.337893,-95.548294,FOR_SALE,264400,1949,/homedetails/4202-Roaring-Timber-Ct-Conroe-TX-77304/246928163_zpid/,"4202 Roaring Timber Ct, Conroe, TX 77304"
318000.0,29.975216,-95.23803,FOR_SALE,318200,2951,/homedetails/1923-Cascade-House-Dr-Humble-TX-77396/97601317_zpid/,"1923 Cascade House Dr, Humble, TX 77396"
220000.0,29.657875,-98.0533,FOR_SALE,,,/homedetails/312-Sauder-Farms-Rd-New-Braunfels-TX-78130/82756543_zpid/,"312 SAUDER FARMS RD, New Braunfels, TX 78130"
1189999.0,30.158024,-98.08571,FOR_SALE,,,/homedetails/1647-Trebled-Waters-Trl-Driftwood-TX-78619/122188868_zpid/,"1647 Trebled Waters Trl, Driftwood, TX 78619"
425000.0,33.257397,-96.90324,FOR_SALE,424400,2717,/homedetails/1429-Trace-Dr-Aubrey-TX-76227/336795391_zpid/,"1429 Trace Dr, Aubrey, TX 76227"
309900.0,29.653423,-95.495834,FOR_SALE,309300,2410,/homedetails/6003-Beaudry-Dr-Houston-TX-77035/28075192_zpid/,"6003 Beaudry Dr, Houston, TX 77035"
299000.0,32.653206,-97.17011,FOR_SALE,,,/homedetails/3900-Woodruff-Ct-Arlington-TX-76017/28981111_zpid/,"3900 Woodruff Ct, Arlington, TX 76017"
599000.0,30.504423,-97.74366,FOR_SALE,,,/homedetails/9016-Marthas-Dr-Austin-TX-78717/29577464_zpid/,"9016 Marthas Dr, Austin, TX 78717"
295000.0,32.659416,-96.864586,FOR_SALE,295600,1880,/homedetails/2934-Cowboy-Dr-Dallas-TX-75237/67962711_zpid/,"2934 Cowboy Dr, Dallas, TX 75237"
185000.0,29.548536,-98.459816,FOR_SALE,176600,1752,/homedetails/2233-Lotus-Blossom-St-San-Antonio-TX-78247/26304016_zpid/,"2233 LOTUS BLOSSOM ST, San Antonio, TX 78247"
309900.0,32.930576,-96.61481,FOR_SALE,312300,1994,/homedetails/1230-Delores-Dr-Garland-TX-75040/27004975_zpid/,"1230 Delores Dr, Garland, TX 75040"
239990.0,29.522942,-98.68048,FOR_SALE,240100,1509,/homedetails/9011-Fromage-San-Antonio-TX-78250/26465763_zpid/,"9011 FROMAGE, San Antonio, TX 78250"
600000.0,33.128193,-97.081055,FOR_SALE,602400,3800,/homedetails/3510-Buckingham-Dr-Corinth-TX-76210/55150301_zpid/,"3510 Buckingham Dr, Corinth, TX 76210"
220000.0,29.503826,-94.991905,FOR_SALE,220800,2005,/homedetails/4415-15th-St-Bacliff-TX-77518/27644592_zpid/,"4415 15th St, Bacliff, TX 77518"
675000.0,30.18226,-97.85948,FOR_SALE,682000,3750,/homedetails/10313-Trout-Cv-Austin-TX-78749/29507655_zpid/,"10313 Trout Cv, Austin, TX 78749"
265000.0,32.925507,-96.60957,FOR_SALE,,,/homedetails/1609-Whiteoak-Dr-Garland-TX-75040/27036333_zpid/,"1609 Whiteoak Dr, Garland, TX 75040"
689900.0,32.80805,-96.756294,FOR_SALE,698000,3499,/homedetails/5904-Junius-St-Dallas-TX-75214/26685856_zpid/,"5904 Junius St, Dallas, TX 75214"
244999.0,29.4268,-98.6644,FOR_SALE,244700,1798,/homedetails/806-Las-Puertas-San-Antonio-TX-78245/58248129_zpid/,"806 LAS PUERTAS, San Antonio, TX 78245"
699800.0,32.88999,-97.16749,FOR_SALE,704300,4807,/homedetails/5513-Oak-Top-Dr-Colleyville-TX-76034/29051220_zpid/,"5513 Oak Top Dr, Colleyville, TX 76034"
279900.0,30.076708,-95.20372,FOR_SALE,278900,2049,/homedetails/5322-Creek-Shadows-Dr-Humble-TX-77339/28369065_zpid/,"5322 Creek Shadows Dr, Humble, TX 77339"
1650000.0,30.25549,-97.778885,FOR_SALE,,,/homedetails/1814-Airole-Way-Austin-TX-78704/29324437_zpid/,"1814 Airole Way, Austin, TX 78704"
349930.0,33.06849,-97.57191,FOR_SALE,,,/homedetails/104-Birch-Forest-Ln-Boyd-TX-76023/2055766276_zpid/,"104 Birch Forest Ln, Boyd, TX 76023"
250000.0,29.15556,-98.18588,FOR_SALE,254800,2194,/homedetails/185-Lark-Hill-Rd-Floresville-TX-78114/220766369_zpid/,"185 LARK HILL RD, Floresville, TX 78114"
335000.0,29.593653,-98.39361,FOR_SALE,335700,2264,/homedetails/15835-Colton-Wl-San-Antonio-TX-78247/26426174_zpid/,"15835 Colton Well, San Antonio, TX 78247"
679000.0,33.070766,-97.06322,FOR_SALE,680800,3300,/homedetails/2220-Waterstone-Trl-Flower-Mound-TX-75028/125713031_zpid/,"2220 Waterstone Trl, Flower Mound, TX 75028"
